recordid,longitude,latitude,datetime,event_link,location
773,16.74452,50.89984,2020-10-28T19:00:00.029,https://www.facebook.com/events/1302714670079864/,POINT(16.74452 50.89984)
774,11.97456,57.70887,2020-10-28T00:00:00,https://www.facebook.com/events/1085690471864434/,POINT(11.97456 57.70887)
775,16.6567892,50.7308605,2020-10-28T17:30:00.029,,POINT(16.6567892 50.7308605)
776,18.2031231,54.3320316,2020-10-28T00:00:00,https://www.facebook.com/events/887304868742218/,POINT(18.2031231 54.3320316)
777,19.0003262,50.2600634,2020-10-28T00:00:00,,POINT(19.0003262 50.2600634)
778,17.9651385,50.4745052,2020-10-28T00:00:00,https://www.facebook.com/events/353757795934602/,POINT(17.9651385 50.4745052)
779,19.4324054,51.0724808,2020-10-28T00:00:00,https://www.facebook.com/events/2742925845960185/,POINT(19.4324054 51.0724808)
780,20.82927,51.04762,2020-10-28T00:00:00,,POINT(20.82927 51.04762)
781,21.0639407,52.2199933,2020-10-28T00:00:00,https://www.facebook.com/szkola.linde.warszawa/posts/3412477005512841,POINT(21.0639407 52.2199933)
782,18.237563,54.6037672,2020-10-28T00:00:00,https://www.facebook.com/events/1586915024832189/,POINT(18.237563 54.6037672)
783,19.1932272,49.6846836,2020-10-28T00:00:00,https://www.facebook.com/events/1559894610875008/,POINT(19.1932272 49.6846836)
784,16.3295344,50.8595694,2020-10-28T00:00:00,https://www.facebook.com/events/805396643595256/,POINT(16.3295344 50.8595694)
785,-2.25985509999992,53.4893394,2020-10-28T00:00:00,https://www.facebook.com/events/345112129914764/,POINT(-2.25985509999992 53.4893394)
786,17.54603,51.12444,2020-10-28T16:59:59.971,https://www.facebook.com/events/1522411321277280/,POINT(17.54603 51.12444)
787,17.5826575,52.5349253,2020-10-28T00:00:00,https://www.facebook.com/events/1069139080207160/,POINT(17.5826575 52.5349253)
